This Twitter Feed is Recording for this Bounding Box (sw long, sw lat, ne long, ne lat)  -84.6,33.3,-83.9,33.9Starting at this date and time  Thu Nov 03 2016 21:09:07 GMT-0400 (Eastern Daylight Time)
Screen Name, Tweet Content, Tweet Time, User Location, Coordinates, Tweet Place
"sksgrigsby","A1: false. Teaching &amp; leading are not mutually exclusive. Admin can take u away from 1:1 w/Ss. #forsythpln","Fri Nov 04 01:10:24 +0000 2016","Southern US","null","East Point, GA"
"BizzleBurnz","@Bryant_Lofton I ain't fuckin wit golden state dis yr kuz everyone got em winning #BullNation","Fri Nov 04 01:10:26 +0000 2016","IN MY OWN ZONES","null","North Carolina, USA"
"Zewdy","I got to live with this crown on my head.","Fri Nov 04 01:10:27 +0000 2016","ATL","null","Atlanta, GA"
"abbiedmatt","how is it that i have over 1100 followers but only get 100 likes on my post?","Fri Nov 04 01:10:29 +0000 2016","null","null","North Carolina, USA"
"Kid_Shelmadine","Probably gonna rewatch shameless because it's so crazy","Fri Nov 04 01:10:30 +0000 2016","OCT North Carolina, USA, ","null","North Carolina, USA"
"LoLoTheSnob","Blockt https://t.co/4lL8jih805","Fri Nov 04 01:10:30 +0000 2016","Atlanta, GA","null","Atlanta, GA"
"EBG_Lonzo","Which song? 🤔 https://t.co/kTkHHuncTd","Fri Nov 04 01:10:31 +0000 2016","Atlanta, GA","null","Fayetteville, GA"
"jadaajoness","It's officially that time in the semester folks. I am a mess. Officially.","Fri Nov 04 01:10:31 +0000 2016","Georgia, USA","null","Georgia, USA"
"indyweek","Man it is so weird to look up and see Hillary Clinton, Bernie Sanders and Pharrell right now","Fri Nov 04 01:10:31 +0000 2016","Raleigh Cary Durham ChapelHill","null","North Carolina, USA"
"so0overit","As much as I disliked Vicki from CancerGate, Tamra's behavior this season made Vicki lk great! @Bravotv @Andy time to recast! Please!! #RHOC","Fri Nov 04 01:10:33 +0000 2016","Atlanta, GA","null","Georgia, USA"
"afayefisher","Love my alumni!!!!🐾🏈 @B_Flave84 awesome addition to the west j football coaching staff! So proud! https://t.co/wFljo9LPUY","Fri Nov 04 01:10:34 +0000 2016","null","null","North Carolina, USA"
"I_LMichelle","*Entire Body 😪 https://t.co/UNj5JbDSoL","Fri Nov 04 01:10:35 +0000 2016","Conyers, GA","null","Georgia, USA"
"JoeJoesph88","fav for a honest DM 😇","Fri Nov 04 01:10:35 +0000 2016","lit @ the 912 ","null","Georgia, USA"
"hadenwomble","Just sittin out here on the hood of this truck, lookin up","Fri Nov 04 01:10:37 +0000 2016","on a field somewhere","null","North Carolina, USA"
"bretanaj","🌊🏈- waiting to see ur 🌊 in the next few months😎","Fri Nov 04 01:10:37 +0000 2016","Atlanta, GA","null","Georgia, USA"
"lilhal1953","@MarkZinno Do the Falcons ever run screen plays with Freeman?","Fri Nov 04 01:10:37 +0000 2016","null","null","Georgia, USA"
"RockyTopFan8","#Falcons-10, Fucks-7. #RiseUp #FalconsHustle #DirtyBirdHustle #RepTheA #NFLNetwork","Fri Nov 04 01:10:41 +0000 2016","Stone Mountain, G.A., ATLANTA","[object Object]","S. Hairston Rd & Covington Hwy"
"gadawg89","Agree, don't let the door hit you where the Good Lord split you! https://t.co/iPkfdn8gaa","Fri Nov 04 01:10:41 +0000 2016","Somewhere out there!","null","Georgia, USA"
"WINEcoloredKISS","Walmart already has Christmas set up throughout the store. Love it.","Fri Nov 04 01:10:42 +0000 2016","Atlanta, GA","null","Sandy Springs, GA"
"eeogletree","@blakeadams98 @hinkle3_trey @_maddiedeel it's very tempting","Fri Nov 04 01:10:43 +0000 2016","⚽️","null","Georgia, USA"
"Bucketz__","Cavaliers look so dangerous again this year.","Fri Nov 04 01:10:43 +0000 2016","null","null","Georgia, USA"
"Infomedia24hrs","#REVISTAS 🇪🇸 #AUTOMOVIL Noviembre 2016 PDF https://t.co/TiFtBwYHi1     #JuevesIntratable  #JuevesDeGanarSeguidores… https://t.co/1cZyXUbtsS","Fri Nov 04 01:10:43 +0000 2016","Buenos Aires - Argentina","null","Carolina del Norte, USA"
"_KennethAtl","@_MylesHigh he always kill trufant","Fri Nov 04 01:10:44 +0000 2016","null","null","Atlanta, GA"
"allyvieiraaa","Such a good night 😌","Fri Nov 04 01:10:45 +0000 2016","Somewhere, USA","null","Georgia, USA"
"hp1130","@ShaneWarne @KP24 @MClarke23 @mj_slats love to see James brysaw in line up","Fri Nov 04 01:10:46 +0000 2016","cordele, GA","null","Georgia, USA"
"MisterPulaski","@sincerelynai yea that's what I'm thinking","Fri Nov 04 01:10:47 +0000 2016","Hell if I know ","null","Georgia, USA"
"SafariMonroe_","I don't believe in cuffing season lol we'll never have one in Georgia if we went by weather because it never gets cold","Fri Nov 04 01:10:47 +0000 2016","Atlanta, GA","null","Belvedere Park, GA"
"jayhixson_5","Don't ask for sum real den Yu get it &amp; ya fucked dat up &amp; now it's hard from to trust da next person 💯","Fri Nov 04 01:10:48 +0000 2016","Griffin, GA","null","Clarkston, GA"
"_MiriAreta","Honestly, truly you'll find better and more sincere friends in "alternative" AUC culture than you will in mainstream/mixxy AUC culture","Fri Nov 04 01:10:48 +0000 2016","Israel/Atlanta/Ethiopia","null","Marietta, GA"
"packed_inabox","Had me whippin the work in the kitchen like I'm Ramsey's 4th cousin in this guy, #T&amp;Bcookin B) 😂","Fri Nov 04 01:10:51 +0000 2016","Buckley","null","Smyrna, GA"
"kassidyyy15","so proud to say I'm a hound! Great season guys! 💙🏈","Fri Nov 04 01:10:51 +0000 2016","North Carolina, USA","null","North Carolina, USA"
"mampher","Got lucky with you","Fri Nov 04 01:10:51 +0000 2016","NC","null","North Carolina, USA"
"mrglendell25","sitting here watching the cavs/Celtics game","Fri Nov 04 01:10:52 +0000 2016","null","null","North Carolina, USA"
"ErinCid","jp- so happy to have you in my life, you're the best truly ily","Fri Nov 04 01:10:53 +0000 2016","ga","null","Georgia, USA"
"Shawn88Wayne","My Celtics trash","Fri Nov 04 01:10:53 +0000 2016","Atlanta, GA","null","College Park, GA"
"GOOD_VIBES04","Switched up on me . https://t.co/sZIc492cND","Fri Nov 04 01:10:54 +0000 2016","706/334✈️","null","Georgia, USA"
"prsageorgia","Could this year's Luminary Star Award recipient be anyone other than @LisaTilt? We think not! Kudos to you, Lisa! #PhoenixAwards","Fri Nov 04 01:10:55 +0000 2016","Atlanta, GA","null","Georgia, USA"
"ItsBeautiful_Z","Procrastination Is The Worst .","Fri Nov 04 01:10:57 +0000 2016","350 LN","null","Atlanta, GA"
"tenXdouble","if i pass this math test ill make honor roll and get my car...PRAY FOR ME","Fri Nov 04 01:10:57 +0000 2016","Atlanna","null","College Park, GA"
"_avaparker","It's disrespectful https://t.co/wOmHfTXCER","Fri Nov 04 01:10:57 +0000 2016","Krypton","null","Georgia, USA"
"bretanaj","👑✨- I always thought you was pretty lol","Fri Nov 04 01:10:59 +0000 2016","Atlanta, GA","null","Georgia, USA"
"punchoMOBLife","We aint got forever and ever you know","Fri Nov 04 01:11:01 +0000 2016","Atlanta","null","Atlanta, GA"
"btm_8","I cast my Heisman ballot for Jabrill Peppers! Click the player you think deserves the @NissanUSA #HeismanHouse vote! https://t.co/qQNGOHaTjg","Fri Nov 04 01:11:01 +0000 2016","null","null","Georgia, USA"
"scrider15","Happy birthday @malane04 hope it was a good one!","Fri Nov 04 01:11:01 +0000 2016","null","null","Georgia, USA"
"_TeeJayBee","I always fall asleep with Ayden... Once he start rubbing my face I know I'm about to knock with him","Fri Nov 04 01:11:02 +0000 2016","Brooklyn ✈ Atlanta","null","Georgia, USA"
"kw1hunnit","The only way out is the way through 📍","Fri Nov 04 01:11:03 +0000 2016","Barwick, Gawja","null","Georgia, USA"
